Rk,Team,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,OFF eFG%,OFF  TOV%,OFF  ORB%,OFF  FT/FGA,DEF eFG%,DEF  TOV%,DEF  DRB%,DEF  FT/FGA,Playoffs
1,Golden State Warriors,19780,3532,7140,0.495,982,2562,0.383,2550,4578,0.557,1457,1850,0.788,770,2873,3643,2491,785,555,1211,1585,9503,28.2,67,15,67,15,11.63,-0.28,11.35,115.6,104,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,1
2,Houston Rockets,19780,3305,7152,0.462,1181,3306,0.357,2124,3846,0.552,1667,2177,0.766,892,2746,3638,2070,670,352,1240,1634,9458,27.4,55,27,55,27,5.77,0.08,5.84,114.7,109,5.7,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,1
3,Denver Nuggets,19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2837,3803,2077,568,323,1226,1567,9161,25.2,40,42,42,40,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,0
4,Cleveland Cavaliers,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,766,2821,3587,1858,539,327,1121,1486,9048,29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,1
5,Washington Wizards,19855,3388,7137,0.475,756,2030,0.372,2632,5107,0.515,1421,1812,0.784,843,2671,3514,1956,693,336,1162,1745,8953,26,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,1
6,Los Angeles Clippers,19755,3242,6820,0.475,841,2245,0.375,2401,4575,0.525,1586,2128,0.745,738,2790,3528,1848,612,347,1062,1626,8911,30,51,31,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211,1
7,Boston Celtics,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,340,1088,1686,8857,25.9,53,29,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,1
8,Portland Trail Blazers,19930,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1126,1736,8851,24.8,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,1
9,Phoenix Suns,19830,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,976,2712,3688,1604,673,399,1265,2030,8831,25,24,58,27,55,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,0.525,13.1,76.4,0.264,0
10,Toronto Raptors,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,400,1041,1708,8762,26.1,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,1
